gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000092241	Gm20522	CD103+Tom+ LP Trm	Infected	13.038131926977387	11.52378388523201	3	14.038131926977387
ENSMUSG00000092241	Gm20522	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092241	Gm20522	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092172	Gm20523	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092172	Gm20523	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092172	Gm20523	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092172	Gm20523	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092302	Gm20524	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092302	Gm20524	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092302	Gm20524	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092302	Gm20524	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092343	Gm20525	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092343	Gm20525	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092343	Gm20525	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092343	Gm20525	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092435	Gm20526	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092435	Gm20526	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092435	Gm20526	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092435	Gm20526	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092220	Gm20528	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092220	Gm20528	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092220	Gm20528	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092220	Gm20528	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092218	Gm20529	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092218	Gm20529	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092218	Gm20529	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092218	Gm20529	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000103265	Gm2053	CD103+Tom+ LP Trm	Baseline	0.49811252974399745	0.4981125297439975	3	1.4981125297439974
ENSMUSG00000103265	Gm2053	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
